Year,Month,Nino34
1961, 8, -0.25
1961, 9, -0.52
1961, 10, -0.71
1961, 11, -0.19
1961, 12, -0.29
1962, 1, -0.25
1962, 2, -0.16
1962, 3, -0.41
1962, 4, -0.32
1962, 5, -0.42
1962, 6, -0.22
1962, 7, -0.30
1962, 8, -0.13
1962, 9, -0.56
1962, 10, -0.33
1962, 11, -0.43
1962, 12, -0.49
1963, 1, -0.32
1963, 2, -0.26
1963, 3, -0.06
1963, 4, -0.06
1963, 5, -0.00
1963, 6, 0.12
1963, 7, 0.72
1963, 8, 0.90
1963, 9, 0.65
1963, 10, 0.84
1963, 11, 0.75
1963, 12, 1.05
1964, 1, 0.76
1964, 2, 0.55
1964, 3, -0.16
1964, 4, -0.53
1964, 5, -0.74
1964, 6, -0.88
1964, 7, -0.65
1964, 8, -0.76
1964, 9, -0.93
1964, 10, -1.00
1964, 11, -1.10
1964, 12, -1.07
1965, 1, -0.57
1965, 2, -0.36
1965, 3, -0.34
1965, 4, -0.09
1965, 5, 0.19
1965, 6, 0.45
1965, 7, 0.81
1965, 8, 1.25
1965, 9, 1.26
1965, 10, 1.61
1965, 11, 1.54
1965, 12, 1.45
1966, 1, 1.13
1966, 2, 0.83
1966, 3, 0.83
1966, 4, 0.54
1966, 5, -0.06
1966, 6, 0.14
1966, 7, 0.23
1966, 8, -0.10
1966, 9, -0.05
1966, 10, -0.05
1966, 11, -0.37
1966, 12, -0.26
1967, 1, -0.55
1967, 2, -0.56
1967, 3, -0.47
1967, 4, -0.53
1967, 5, -0.24
1967, 6, -0.12
1967, 7, -0.10
1967, 8, -0.31
1967, 9, -0.59
1967, 10, -0.38
1967, 11, -0.34
1967, 12, -0.35
1968, 1, -0.60
1968, 2, -0.74
1968, 3, -0.76
1968, 4, -0.47
1968, 5, -0.44
1968, 6, 0.19
1968, 7, 0.31
1968, 8, 0.33
1968, 9, 0.05
1968, 10, 0.32
1968, 11, 0.76
1968, 12, 0.76
1969, 1, 0.90
1969, 2, 1.02
1969, 3, 0.61
1969, 4, 0.33
1969, 5, 0.39
1969, 6, 0.26
1969, 7, 0.10
1969, 8, 0.52
1969, 9, 0.47
1969, 10, 0.66
1969, 11, 0.75
1969, 12, 0.68
1970, 1, 0.55
1970, 2, 0.36
1970, 3, 0.26
1970, 4, 0.18
1970, 5, 0.01
1970, 6, -0.30
1970, 7, -0.98
1970, 8, -0.95
1970, 9, -0.78
1970, 10, -0.65
1970, 11, -0.85
1970, 12, -1.11
1971, 1, -1.47
1971, 2, -1.28
1971, 3, -1.29
1971, 4, -0.97
1971, 5, -0.82
1971, 6, -0.78
1971, 7, -0.64
1971, 8, -0.65
1971, 9, -0.75
1971, 10, -0.78
1971, 11, -0.85
1971, 12, -0.89
1972, 1, -0.58
1972, 2, -0.22
1972, 3, -0.25
1972, 4, 0.21
1972, 5, 0.33
1972, 6, 0.66
1972, 7, 0.83
1972, 8, 1.30
1972, 9, 1.19
1972, 10, 1.77
1972, 11, 1.87
1972, 12, 2.19
1973, 1, 1.60
1973, 2, 1.08
1973, 3, 0.58
1973, 4, -0.07
1973, 5, -0.56
1973, 6, -0.86
1973, 7, -1.14
1973, 8, -1.21
1973, 9, -1.40
1973, 10, -1.58
1973, 11, -2.07
1973, 12, -2.18
1974, 1, -2.02
1974, 2, -1.50
1974, 3, -1.44
1974, 4, -1.00
1974, 5, -0.79
1974, 6, -0.70
1974, 7, -0.65
1974, 8, -0.32
1974, 9, -0.35
1974, 10, -0.75
1974, 11, -0.96
1974, 12, -0.86
1975, 1, -0.37
